state,year,quarter,entity_name,insurance_amount
arunachal-pradesh,2021,2,792103,9960.0
arunachal-pradesh,2021,2,792110,8091.0
arunachal-pradesh,2021,2,792001,19837.0
arunachal-pradesh,2021,2,791113,4357.0
arunachal-pradesh,2021,2,791120,4236.0
arunachal-pradesh,2021,2,791109,9677.0
arunachal-pradesh,2021,2,791112,20976.0
arunachal-pradesh,2021,3,791001,57300.0
arunachal-pradesh,2021,3,791102,30911.0
arunachal-pradesh,2021,3,791111,62172.0
arunachal-pradesh,2021,3,791110,18773.0
arunachal-pradesh,2021,3,792103,35018.0
arunachal-pradesh,2021,3,790116,12529.0
arunachal-pradesh,2021,3,792110,11845.0
arunachal-pradesh,2021,3,792129,25474.0
arunachal-pradesh,2021,3,792001,12333.0
arunachal-pradesh,2021,3,791120,11875.0
arunachal-pradesh,2021,4,791110,84245.0
arunachal-pradesh,2021,4,791111,62422.0
arunachal-pradesh,2021,4,791113,42208.0
arunachal-pradesh,2021,4,791001,27105.0
arunachal-pradesh,2021,4,792103,24037.0
arunachal-pradesh,2021,4,790001,19900.0
arunachal-pradesh,2021,4,791109,15990.0
arunachal-pradesh,2021,4,790104,18120.0
arunachal-pradesh,2021,4,792130,30185.0
arunachal-pradesh,2021,4,792110,12440.0
arunachal-pradesh,2022,1,791111,124161.0
arunachal-pradesh,2022,1,791110,58358.0
arunachal-pradesh,2022,1,791113,95648.0
arunachal-pradesh,2022,1,791102,46778.0
arunachal-pradesh,2022,1,790116,42054.0
arunachal-pradesh,2022,1,792129,55170.0
arunachal-pradesh,2022,1,792001,22997.0
arunachal-pradesh,2022,1,791109,12811.0
arunachal-pradesh,2022,1,792056,13617.0
arunachal-pradesh,2022,1,792110,17012.0
arunachal-pradesh,2022,2,791110,272742.0
arunachal-pradesh,2022,2,791111,210496.0
arunachal-pradesh,2022,2,791113,126741.0
arunachal-pradesh,2022,2,791109,77784.0
arunachal-pradesh,2022,2,791102,94817.0
arunachal-pradesh,2022,2,791001,54485.0
arunachal-pradesh,2022,2,790104,55603.0
arunachal-pradesh,2022,2,792001,45749.0
arunachal-pradesh,2022,2,791123,22207.0
arunachal-pradesh,2022,2,791112,42189.0
arunachal-pradesh,2022,3,791111,283474.0
arunachal-pradesh,2022,3,791110,151232.0
arunachal-pradesh,2022,3,791102,53678.0
arunachal-pradesh,2022,3,791109,36024.0
arunachal-pradesh,2022,3,791113,56908.0
arunachal-pradesh,2022,3,790104,97783.0
arunachal-pradesh,2022,3,791001,88301.0
arunachal-pradesh,2022,3,791123,38512.0
arunachal-pradesh,2022,3,792110,26960.0
arunachal-pradesh,2022,3,790102,25996.0
arunachal-pradesh,2022,4,791111,169298.0
arunachal-pradesh,2022,4,791110,153335.0
arunachal-pradesh,2022,4,791102,52395.0
arunachal-pradesh,2022,4,791001,60464.0
arunachal-pradesh,2022,4,791113,98039.0
arunachal-pradesh,2022,4,792001,50628.0
arunachal-pradesh,2022,4,792103,54947.0
arunachal-pradesh,2022,4,792110,56348.0
arunachal-pradesh,2022,4,790104,65530.0
arunachal-pradesh,2022,4,791112,42213.0
arunachal-pradesh,2023,1,791110,172651.0
arunachal-pradesh,2023,1,791111,229802.0
arunachal-pradesh,2023,1,791113,107932.0
arunachal-pradesh,2023,1,791102,77754.0
arunachal-pradesh,2023,1,790104,151958.0
arunachal-pradesh,2023,1,791001,92735.0
arunachal-pradesh,2023,1,790116,46603.0
arunachal-pradesh,2023,1,791109,26106.0
arunachal-pradesh,2023,1,792110,32562.0
arunachal-pradesh,2023,1,792121,56453.0
arunachal-pradesh,2023,2,791110,280971.0
arunachal-pradesh,2023,2,791111,210621.0
arunachal-pradesh,2023,2,791113,172799.0
arunachal-pradesh,2023,2,791102,133976.0
arunachal-pradesh,2023,2,792103,79156.0
arunachal-pradesh,2023,2,791001,89674.0
arunachal-pradesh,2023,2,791123,41320.0
arunachal-pradesh,2023,2,792110,51944.0
